rank	gene	collapse_score
1	SDE2	0.019823
2	MMP19	0.018536
3	MGP	0.014456
4	S100A8	0.012910
5	S100A11	0.011309
6	SLC4A4	0.010907
7	AL356417.3	0.010229
8	FOXC1	0.009634
9	IRF7	0.009495
10	AC136475.1	0.009044
11	CCL18	0.008626
12	UBXN2B	0.008212
13	CD1D	0.007760
14	ZNF408	0.007718
15	CFP	0.007668
16	THBD	0.007108
17	ST20-AS1	0.006548
18	TBC1D8	0.006323
19	SCO2	0.006225
20	PGM1	0.006218
21	DAP	0.005912
22	CD177	0.005795
23	SLC19A1	0.005459
24	DUSP23	0.005178
25	CCDC78	0.005029
26	MCEMP1	0.004975
27	SEMA4B	0.004775
28	CCN1	0.004757
29	GALNT7	0.004670
30	LMTK2	0.004538
31	FAM126B	0.004371
32	LYPLA2	0.004300
33	RNF24	0.004299
34	PAM16	0.004251
35	NTAN1	0.004198
36	ZNF106	0.004158
37	HAS1	0.003988
38	COL1A1	0.003816
39	APOL1	0.003814
40	PRSS3	0.003742
41	NPPA	0.003688
42	OAZ2	0.003668
43	DPP4	0.003650
44	LAMB3	0.003623
45	ASF1B	0.003591
46	AC017083.1	0.003502
47	CARD8-AS1	0.003493
48	LST1	0.003393
49	STAT5A	0.003362
50	KATNBL1	0.003324
51	INAFM1	0.003244
52	AC090559.1	0.003236
53	NDC80	0.003149
54	C10orf55	0.003092
55	ZBP1	0.003062
56	ROBO2	0.003009
57	RORB	0.002979
58	LATS2	0.002909
59	NME8	0.002863
60	AL138895.1	0.002833
61	MT3	0.002772
62	BCL2A1	0.002741
63	LSM10	0.002720
64	STYXL1	0.002702
65	B3GALT4	0.002671
66	IGF2BP2	0.002668
67	SP1	0.002620
68	AC104695.3	0.002611
69	AC025423.4	0.002598
70	LPP-AS2	0.002521
71	PPP1CB	0.002441
72	MXD3	0.002436
73	AC099489.1	0.002435
74	TXN	0.002298
75	SP3	0.002236
76	LRFN1	0.002230
77	CLSTN3	0.002131
78	PHKA2	0.002068
79	TRIM74	0.002006
80	IFI27	0.002001
81	DEDD2	0.001984
82	PCBP1-AS1	0.001967
83	ZNF44	0.001963
84	ZNF674	0.001935
85	MT-CO2	0.001905
86	GNG10	0.001903
87	EVI2B	0.001891
88	RAB1B	0.001872
89	NIBAN1	0.001821
90	AL031846.2	0.001688
91	ASB8	0.001648
92	TREM1	0.001572
93	CDKN2D	0.001561
94	PITPNM1	0.001525
95	TMEM71	0.001518
96	AP000919.2	0.001516
97	GAP43	0.001508
98	HBD	0.001418
99	ARHGAP30	0.001411
100	MT-CO3	0.001393
101	ZNF419	0.001388
102	AC103724.3	0.001385
103	AC096667.1	0.001366
104	H3F3A	0.001277
105	ESR2	0.001213
106	SYF2	0.001185
107	ACOX1	0.001164
108	CD24	0.001092
109	AC083862.3	0.001062
110	AC020910.2	0.001040
111	CXCL14	0.000974
112	EXOC3L1	0.000967
113	ANAPC15	0.000941
114	ASPRV1	0.000931
115	S100A12	0.000919
116	NLRC5	0.000906
117	JAK3	0.000869
118	PACSIN2	0.000866
119	MYCBP	0.000792
120	CA4	0.000774
121	RNF135	0.000754
122	DCAF11	0.000751
123	CD69	0.000701
124	MAK	0.000657
125	TNXB	0.000587
126	GPC2	0.000480
127	PIK3CD	0.000389
128	OSM	0.000370
129	DAPK2	0.000356
130	AC011228.2	0.000347
131	RYR3	0.000330
132	AL391335.1	0.000194
133	SH3BGRL3	0.000156
134	ARID3B	0.000144
135	AL035661.2	0.000125
136	HCAR3	0.000122
137	PACS1	0.000113
138	FERMT1	0.000058
139	AC009950.1	0.000053
140	AC011445.2	0.000046
141	STIMATE	0.000044
142	SCRT2	0.000042
143	ABHD4	0.000034
144	MDM1	0.000034
145	HSPA1A	0.000000
146	MMP2-AS1	0.000000
147	ACAP2	0.000000
148	PGGHG	0.000000
149	AKIRIN1	0.000000
150	POLR3GL	0.000000
151	TNFRSF10C	0.000000
152	TBX6	0.000000
153	AC010186.3	0.000000
154	KCNA1	0.000000
155	VIM-AS1	0.000000
156	CPB2-AS1	0.000000
157	MT-ATP6	0.000000
158	ABTB1	0.000000
159	TMLHE	0.000000
160	AL390957.1	0.000000
161	KMT2E-AS1	0.000000
162	LRRK2	0.000000
163	THSD4	0.000000
164	IRF1	0.000000
165	LTB	0.000000
166	AC015912.3	0.000000
167	DGKD	0.000000
168	PTK2B	0.000000
169	NKRF	0.000000
170	MYOZ2	0.000000
171	EPB41L4B	0.000000
172	AC093673.1	0.000000
173	KIF5A	0.000000
174	CCL3L1	0.000000
175	CHAC1	0.000000
176	HIST1H2BC	0.000000
177	TNFRSF1B	0.000000
178	HPGD	0.000000
179	TMEM221	0.000000
180	CCDC88C	0.000000
181	EHBP1L1	0.000000
182	KDM2A	0.000000
183	ATP1B2	0.000000
184	CDK5RAP2	0.000000
185	PPP1R11	0.000000
186	S100A6	0.000000
187	PAPSS2	0.000000
188	OLFM2	0.000000
189	MINDY1	0.000000
190	GRIN2C	0.000000
191	AP002449.1	0.000000
192	RAC2	0.000000
193	ACSS2	0.000000
194	PEX11G	0.000000
195	EFCAB5	0.000000
196	TCAP	0.000000
197	TLR8	0.000000
198	RMI1	0.000000
199	BCHE	0.000000
200	AL606834.1	0.000000
